Capture_4:204,Unnamed: 5
811,7.38362
812,1.8715
813,3.09456
814,-1.48348
815,6.45993
816,0.06167
817,1.68012
818,5.16776
819,15.16334
820,5.13897
821,4.27606
822,5.45309
823,-0.86038
824,2.94007
825,7.08222
826,4.08738
827,4.22299
828,7.39996
829,4.93497
830,-4.69825
831,4.79041
832,2.93189
833,6.70905
834,6.38479
835,2.15952
836,4.75343
837,-0.12962
838,3.38832
839,4.52445
840,3.02047
841,3.38567
842,3.02775
843,3.94101
844,5.39458
845,6.81037
846,3.08925
847,1.20818
848,5.41706
849,1.64545
850,1.39191
851,6.09027
852,2.82786
853,2.63912
854,4.66661
855,1.68646
856,1.09919
857,-1.04527
858,4.16531
859,0.28087
860,4.29145
861,0.40037
862,4.73193
863,-0.11206
864,0.48623
865,1.19147
866,1.30127
867,4.60085
868,-0.56191
869,4.07677
870,4.69813
871,2.10794
872,5.50769
873,3.34689
874,7.17205
875,1.93888
876,3.39069
877,2.05034
878,4.20799
879,6.50373
880,3.09023
881,-3.12532
882,1.68728
883,-0.07077
884,0.11307
885,-0.92921
886,5.90578
887,5.94311
888,3.1609
889,0.92006
890,4.37924
891,4.12934
892,6.31547
893,6.16844
894,3.42537
895,-0.60124
896,5.53829
897,-0.58882
898,0.83855
899,0.05235
900,3.1193
901,0.408
902,2.88195
903,3.59706
904,2.77804
905,0.90398
906,1.21123
907,2.14411
908,-0.37457
909,1.11057
910,9.04791
911,3.3626
912,15.05331
913,4.66556
914,1.46292
915,6.12529
916,-0.43925
917,1.06355
918,2.00791
919,5.67278
920,5.58838
921,8.40344
922,2.08613
923,1.41762
924,1.21818
925,-3.08932
926,1.05703
927,-2.90809
928,8.1869
929,3.01274
930,2.78585
931,-2.91876
932,2.95405
933,-0.29437
934,-0.1553
935,2.02556
936,2.19263
937,6.2513
938,7.97596
939,2.40872
940,0.08675
941,-1.06529
942,-3.88009
943,1.25575
944,-3.19774
945,2.28123
946,-9.38205
947,-0.85314
948,5.71467
949,3.45997
950,2.09277
951,1.01126
952,1.06872
953,0.26709
954,-0.5875
955,0.95613
956,2.26396
957,1.78241
958,-3.88683
959,0.45356
960,0.54793
961,3.99586
962,6.23716
963,1.35514
964,3.11681
965,4.75164
966,1.89608
967,-3.19994
968,-1.87897
969,-0.591
970,3.65934
971,5.37654
972,2.6857
973,5.19605
974,3.48045
975,4.44193
976,3.08195
977,2.86278
978,9.76058
979,0.90613
980,8.02205
981,0.6861
982,1.1072
983,-1.28955
984,-0.86348
985,-1.68045
986,0.96569
987,0.07913
988,6.15835
989,4.85227
990,-4.28825
991,0.92995
992,3.11625
993,7.84349
994,0.47953
995,0.99065
996,-0.16824
997,-1.90007
998,1.43164
999,-1.65802
1000,-1.50477
