USB2G43178_1:101,,Capture_3:203,,Capture_4:204,,Capture_5:205,,Capture_6:206,
487,"-0,15488",487,"6,58056",487,"-0,39136",487,"4,05262",487,"1585,56009"
488,"3,7441",488,"2,7659",488,"0,03987",488,"6,64218",488,"1513,27678"
489,"7,07598",489,"7,24819",489,"-0,71955",489,"8,14791",489,"1443,29075"
490,"2,44069",490,"3,47789",490,"1,45836",490,"8,9073",490,"1373,23632"
491,"4,82735",491,"7,56514",491,"4,71973",491,"6,31891",491,"1291,42316"
492,"7,95125",492,"1,36643",492,"3,10179",492,"8,63792",492,"1189,9315"
493,"9,31909",493,"-2,93398",493,"1,76565",493,"6,41995",493,"1124,23646"
494,"2,51843",494,"6,02036",494,"2,70421",494,"7,19429",494,"1041,12684"
495,"4,57413",495,"1,06857",495,"2,70789",495,"2,39765",495,"945,43274"
496,"7,88137",496,"-0,54568",496,"5,90608",496,"5,58874",496,"867,89287"
497,"3,76633",497,"5,12232",497,"0,87955",497,"8,84274",497,"790,52796"
498,"4,38978",498,"4,99378",498,"1,87181",498,"5,05831",498,"714,50576"
499,"12,0668",499,"10,18252",499,"7,80194",499,"13,23888",499,"658,54925"
500,"9,94948",500,"23,13813",500,"6,89324",500,"27,11629",500,"608,31492"
501,"1,27598",501,"10,68015",501,"-0,20895",501,"7,89377",501,"558,43053"
502,"0,69667",502,"4,10474",502,"1,76735",502,"8,86939",502,"515,04746"
503,"10,79055",503,"21,38553",503,"2,94646",503,"13,64292",503,"494,87819"
504,"2,97337",504,"15,93456",504,"3,10696",504,"15,61091",504,"458,64258"
505,"2,57889",505,"-0,74327",505,"4,13952",505,"10,65223",505,"405,91891"
506,"6,57819",506,"5,00754",506,"0,76568",506,"7,98522",506,"382,29896"
507,"4,49981",507,"3,52449",507,"-0,54492",507,"7,73822",507,"357,73531"
508,"3,65395",508,"1,76609",508,"0,26906",508,"5,67175",508,"322,04722"
509,"9,07668",509,"9,38784",509,"3,79739",509,"9,68283",509,"309,62971"
510,"1,68513",510,"6,79499",510,"-2,84539",510,"7,50648",510,"275,385"
511,"5,33125",511,"3,37041",511,"-0,5972",511,"2,74425",511,"258,96633"
512,"3,64573",512,"10,62205",512,"-2,0642",512,"8,77022",512,"231,63136"
513,"2,61593",513,"4,20076",513,"2,43437",513,"3,18335",513,"207,7484"
514,"8,25735",514,"8,45487",514,"5,93483",514,"8,2227",514,"201,15695"
515,"3,30439",515,"5,8828",515,"-0,90177",515,"4,90914",515,"167,13825"
516,"9,89169",516,"0,56946",516,"0,23552",516,"4,58133",516,"162,66063"
517,"6,54526",517,"11,31248",517,"0,57544",517,"14,18984",517,"148,37556"
518,"8,82521",518,"6,98342",518,"-1,64101",518,"14,79096",518,"147,06912"
519,"3,66824",519,"4,25162",519,"-0,00593",519,"11,41398",519,"126,19596"
520,"-13,84991",520,"4,32028",520,"-4,92121",520,"10,70367",520,"106,3271"
521,"2,74075",521,"3,70759",521,"0,82291",521,"15,61628",521,"100,83086"
522,"9,57079",522,"9,85628",522,"-0,01252",522,"14,60042",522,"104,61788"
