Capture_6:206,Unnamed: 9
541,19.40626
542,18.43296
543,22.46107
544,16.19144
545,10.55022
546,12.10374
547,9.80389
548,11.62101
549,13.90035
550,10.61899
551,8.20017
552,9.23088
553,10.01816
554,13.84061
555,3.40099
556,7.01858
557,9.64584
558,4.52462
559,5.30278
560,4.14822
561,3.44048
562,0.0853
563,8.66582
564,10.28467
565,3.96775
566,6.03332
567,3.17744
568,2.23164
569,2.12429
570,7.93231
571,3.90448
572,0.62772
573,0.01966
574,-3.93134
575,7.53038
576,0.81019
577,5.07585
578,3.24509
579,-0.64523
580,2.83022
581,4.08464
582,3.3729
583,1.80503
584,-0.38719
585,7.89849
586,-0.03826
587,1.47639
588,0.60397
589,1.30601
590,6.38636
591,2.6702
592,6.05296
593,2.04047
594,2.57142
595,0.39897
596,4.59472
597,-18.32066
598,3.88938
599,-0.73114
600,5.15791
601,2.98038
602,4.90533
603,2.67268
604,3.33579
605,0.99271
606,-1.47588
607,6.1
608,4.09894
609,6.21327
610,-1.49974
611,0.38761
612,1.49993
613,3.47481
614,19.32896
615,2.8903
616,4.70524
617,3.21008
618,8.92285
619,4.25798
620,-0.8035
621,1.21566
622,1.00406
623,5.74104
624,2.27707
625,7.92245
626,5.91274
627,9.94964
628,9.23028
629,7.21375
630,6.95559
631,8.04489
632,9.12285
633,6.1472
634,9.91548
635,11.19737
636,7.2565
637,14.79192
638,18.98197
639,15.33474
640,11.29008
641,15.43713
642,9.86332
643,9.60485
644,15.07073
645,16.30138
646,22.68477
647,16.99125
648,15.91258
649,12.32997
650,15.40923
651,18.05408
652,19.97422
653,17.8988
654,20.82113
655,17.42254
656,19.39878
657,16.76002
658,15.31035
659,18.64711
660,15.89068
661,15.9614
662,18.90767
663,17.92346
664,19.6641
665,14.4181
666,19.1869
667,14.26725
668,16.24641
669,24.39554
670,17.16034
671,14.88947
672,21.1753
673,23.78466
674,16.89519
675,18.40244
676,16.05252
677,18.81637
678,16.72548
679,19.8901
680,18.02109
681,24.13507
682,17.94547
683,16.39253
684,23.31689
685,14.54003
686,16.93904
687,11.22595
688,13.5537
689,15.81332
690,14.75745
691,11.70825
692,15.39482
693,18.93016
694,16.09933
695,16.03005
696,15.85534
697,18.69403
698,13.58974
699,17.43176
700,16.35899
701,18.51141
702,20.73007
703,22.14168
704,16.57289
705,14.40085
706,14.6282
707,16.87055
708,21.21937
709,16.58723
710,23.5974
711,21.92316
712,25.11858
713,23.07839
714,24.18017
715,17.51545
716,20.15225
717,23.62463
718,20.38411
719,15.83514
720,15.67214
721,16.69512
722,14.95971
723,20.6693
724,21.20765
725,17.69781
726,20.83416
727,18.21647
728,20.60801
729,21.52132
730,18.66216
731,21.20902
732,13.73769
733,21.40245
734,23.6653
735,19.12396
736,24.92043
737,20.9226
738,24.73617
739,21.73227
740,22.92112
741,6.45782
742,19.76807
743,22.8766
744,23.72812
745,21.67455
746,24.71507
747,16.38233
748,25.35984
749,18.71967
750,21.74614
751,19.84266
752,25.97858
753,17.73894
754,16.25641
755,18.57701
756,20.48404
757,23.81144
758,19.40314
759,14.913
760,15.27701
761,6.35267
762,6.19877
763,7.56785
764,9.47867
765,7.19042
766,10.87232
767,10.30323
768,17.19993
769,13.0136
770,9.95991
771,14.80492
772,16.0387
773,14.97622
774,21.99257
775,19.02068
776,19.74367
777,15.27565
778,15.60211
779,18.91599
780,13.84776
781,18.00098
782,9.69516
783,15.47212
784,13.59678
785,15.77067
786,13.27403
787,15.75049
788,10.64105
789,12.46995
790,11.74211
791,14.31166
792,11.72236
793,17.61444
794,10.63866
795,14.24317
796,4.86017
797,16.45898
798,14.97257
799,17.92768
